1	175	56	1	1162	159	1356	443
2	4257	1475	50	878	72	1356	666
3	4422	1547	54	385	183	1357	521
4	4586	1605	56	756	138	1357	501
5	4729	1649	59	547	121	1357	525
6	5005	1738	60	450	127	1357	579
7	5146	1790	62	459	136	1357	512
8	5258	1827	63	479	103	1357	589
9	5378	1871	65	643	143	1357	550
10	5524	1911	66	667	97	1357	571
11	5653	1968	69	486	174	1357	526
12	5810	2011	70	582	129	1357	524
13	5960	2055	72	630	142	1357	531
14	6120	2113	73	526	165	1356	537
15	6271	2182	76	1162	247	1357	514
16	6408	2234	78	183	179	1357	475
17	6575	2278	79	60	106	1356	493
18	6717	2337	81	844	318	1357	513
19	6947	2407	82	529	100	1357	594
20	7096	2464	83	597	134	1356	544
21	7327	2543	86	802	168	1357	531
22	7611	2655	88	550	123	1357	514
23	7727	2707	91	742	156	1357	525
24	7840	2753	94	585	124	1356	549
25	7928	2791	95	413	109	1357	543
26	8025	2829	96	820	130	1357	579
27	8150	2867	99	590	86	1357	588
28	8257	2913	101	536	224	1356	495
29	8379	2967	105	1162	223	1357	515
30	8526	3020	106	710	297	1357	508
31	8697	3080	107	417	119	1356	538
32	8853	3142	112	525	85	1357	582
33	9015	3202	115	105	144	1357	583
34	9153	3253	118	675	94	1357	521
35	9478	3366	121	906	86	1357	614
36	9650	3421	123	808	89	1357	597
37	9826	3481	125	420	117	1357	538
38	9984	3537	128	428	123	1357	571
39	10270	3643	129	390	93	1357	579
40	10464	3701	132	401	124	1356	509
41	10563	3735	133	694	197	1357	493
42	10683	3784	134	633	133	1357	522
43	10831	3845	135	436	193	1357	449
44	11023	3913	137	779	154	1356	417
45	11125	3940	138	723	105	1357	614
46	11283	4009	140	497	100	1356	544
47	11572	4121	142	354	169	1356	503
48	11698	4164	145	577	129	1357	539
49	12139	4332	147	1039	150	1357	557
50	12268	4383	150	552	219	1357	483
51	12409	4450	152	492	95	1356	542
52	12544	4515	153	113	104	1357	576
53	12682	4551	156	958	147	1356	489
54	12818	4609	161	414	359	1356	477
55	13106	4706	163	858	132	1357	532
56	13294	4752	164	469	114	1357	511
57	13448	4813	165	647	152	1356	551
58	13618	4874	166	486	111	1356	536
59	13800	4937	171	1089	112	1357	584
60	13948	5008	172	679	94	1357	599
